name,type,ra,dec
M1,Planetary nebula,5h 34.5m,22° 1'
M2,Globular cluster,21h 33.5m,0° 49'
M3,Globular cluster,13h 42.2m,28° 23'
M4,Globular cluster,16h 23.6m,-26° 32'
M5,Globular cluster,15h 18.6m,2° 5'
M6,Open cluster,17h 40.1m,-32° 13'
M7,Open cluster,17h 53.9m,-34° 49'
M8,Diffuse nebula,18h 3.8m,-24° 23'
M9,Globular cluster,17h 19.2m,-18° 31'
M10,Globular cluster,16h 57.1m,-4° 6'
M11,Open cluster,18h 51.1m,-6° 16'
M12,Globular cluster,16h 47.2m,-1° 57'
M13,Globular cluster,16h 41.7m,36° 28'
M14,Globular cluster,17h 37.6m,-3° 15'
M15,Globular cluster,21h 30m,12° 10'
M16,Diffuse nebula,18h 18.8m,-13° 47'
M17,Diffuse nebula,18h 20.8m,-16° 11'
M18,Open cluster,18h 19.9m,-17° 8'
M19,Globular cluster,17h 2.6m,-26° 16'
M20,Diffuse nebula,18h 2.6m,-23° 2'
M21,Open cluster,18h 4.6m,-22° 30'
M22,Globular cluster,18h 36.4m,-23° 54'
M23,Open cluster,17h 56.8m,-19° 1'
M24,Open cluster,18h 16.9m,-18° 29'
M25,Open cluster,18h 31.6m,-19° 15'
M26,Open cluster,18h 45.2m,-9° 24'
M27,Planetary nebula,19h 59.6m,22° 43'
M28,Globular cluster,18h 24.5m,-24° 52'
M29,Open cluster,20h 23.9m,38° 32'
M30,Globular cluster,21h 40.4m,-23° 11'
M31,Spiral galaxy,0h 42.7m,41° 16'
M32,Elliptical galaxy,0h 42.7m,40° 52'
M33,Spiral galaxy,1h 33.9m,30° 39'
M34,Open cluster,2h 42m,42° 47'
M35,Open cluster,6h 8.9m,24° 20'
M36,Open cluster,5h 36.1m,34° 8'
M37,Open cluster,5h 52.4m,32° 33'
M38,Open cluster,5h 28.7m,35° 50'
M39,Open cluster,21h 32.2m,48° 26'
M40,Double star,12h 22.4m,58° 5'
M41,Open cluster,6h 47m,-20° 44'
M42,Diffuse nebula,5h 35.4m,-5° 27'
M43,Diffuse nebula,5h 35.6m,-5° 16'
M44,Open cluster,8h 40.1m,19° 59'
M45,Open cluster,3h 47m,24° 7'
M46,Open cluster,7h 41.8m,-14° 49'
M47,Open cluster,7h 36.6m,-14° 30'
M48,Open cluster,8h 13.8m,-5° 48'
M49,Elliptical galaxy,12h 29.8m,8° 0'
M50,Open cluster,7h 3.2m,-8° 20'
M51,Spiral galaxy,13h 29.9m,47° 12'
M52,Open cluster,23h 24.2m,61° 35'
M53,Globular cluster,13h 12.9m,18° 10'
M54,Globular cluster,18h 55.1m,-30° 29'
M55,Globular cluster,19h 40m,-30° 58'
M56,Globular cluster,19h 16.6m,30° 11'
M57,Planetary nebula,18h 53.6m,33° 2'
M58,Spiral galaxy,12h 37.7m,11° 49'
M59,Elliptical galaxy,12h 42m,11° 39'
M60,Elliptical galaxy,12h 43.7m,11° 33'
M61,Spiral galaxy,12h 21.9m,4° 28'
M62,Globular cluster,17h 1.2m,-30° 7'
M63,Spiral galaxy,13h 15.8m,42° 2'
M64,Spiral galaxy,12h 56.7m,21° 41'
M65,Spiral galaxy,11h 18.9m,13° 5'
M66,Spiral galaxy,11h 20.2m,12° 59'
M67,Open cluster,8h 50.4m,11° 49'
M68,Globular cluster,12h 39.5m,-26° 45'
M69,Globular cluster,18h 31.4m,-32° 21'
M70,Globular cluster,18h 43.2m,-32° 18'
M71,Globular cluster,19h 53.8m,18° 47'
M72,Globular cluster,20h 53.5m,-12° 32'
M73,Open cluster,20h 58.9m,-12° 38'
M74,Spiral galaxy,1h 36.7m,15° 47'
M75,Globular cluster,20h 6.1m,-21° 55'
M76,Planetary nebula,1h 42.4m,51° 34'
M77,Spiral galaxy,2h 42.7m,0° 1'
M78,Diffuse nebula,5h 46.7m,0° 3'
M79,Globular cluster,5h 24.5m,-24° 33'
M80,Globular cluster,16h 17m,-22° 59'
M81,Spiral galaxy,9h 55.6m,69° 4'
M82,Irregular galaxy,9h 55.8m,69° 41'
M83,Spiral galaxy,13h 37m,-29° 52'
M84,Elliptical galaxy,12h 25.1m,12° 53'
M85,Elliptical galaxy,12h 25.4m,18° 11'
M86,Elliptical galaxy,12h 26.2m,12° 57'
M87,Elliptical galaxy,12h 30.8m,12° 24'
M88,Spiral galaxy,12h 32m,14° 25'
M89,Elliptical galaxy,12h 35.7m,12° 33'
M90,Spiral galaxy,12h 36.8m,13° 10'
M91,Spiral galaxy,12h 35.4m,14° 30'
M92,Globular cluster,17h 17.1m,43° 8'
M93,Open cluster,7h 44.6m,-23° 52'
M94,Spiral galaxy,12h 50.9m,41° 7'
M95,Spiral galaxy,10h 44m,11° 42'
M96,Spiral galaxy,10h 46.8m,11° 49'
M97,Planetary nebula,11h 14.8m,55° 1'
M98,Spiral galaxy,12h 13.8m,14° 54'
M99,Spiral galaxy,12h 18.8m,14° 25'
M100,Spiral galaxy,12h 22.9m,15° 49'
M101,Spiral galaxy,14h 3.2m,54° 21'
M102,Spiral galaxy,14h 3.2m,54° 21'
M103,Open cluster,1h 33.2m,60° 42'
M104,Spiral galaxy,12h 40m,-11° 37'
M105,Elliptical galaxy,10h 47.8m,12° 35'
M106,Spiral galaxy,12h 19m,47° 18'
M107,Globular cluster,16h 32.5m,-13° 3'
M108,Spiral galaxy,11h 11.5m,55° 40'
M109,Spiral galaxy,11h 57.6m,53° 23'
M110,Elliptical galaxy,0h 40.4m,41° 41'
,planet,,
,planet,,
,planet,,
,planet,,
,planet,,
,planet,,
,planet,,
